--------- beginning of crash
07-11 18:11:11.042 10487 10540 E AndroidRuntime: 	at androidx.room.coroutines.PassthroughConnection.withTransaction(PassthroughConnectionPool.kt:103)
07-11 18:11:11.042 10487 10540 E AndroidRuntime: 	at androidx.room.util.DBUtil__DBUtil_androidKt$performSuspending$lambda$1$$inlined$internalPerform$1.invokeSuspend(DBUtil.kt:59)
07-11 18:11:11.042 10487 10540 E AndroidRuntime: 	at androidx.room.util.DBUtil__DBUtil_androidKt$performSuspending$lambda$1$$inlined$internalPerform$1.invoke(DBUtil.kt:8)
07-11 18:11:11.042 10487 10540 E AndroidRuntime: 	at androidx.room.util.DBUtil__DBUtil_androidKt$performSuspending$lambda$1$$inlined$internalPerform$1.invoke(DBUtil.kt:4)
07-11 18:11:11.042 10487 10540 E AndroidRuntime: 	at androidx.room.coroutines.PassthroughConnectionPool.useConnection(PassthroughConnectionPool.kt:55)
07-11 18:11:11.042 10487 10540 E AndroidRuntime: 	at androidx.room.RoomConnectionManager.useConnection(RoomConnectionManager.android.kt:138)
07-11 18:11:11.042 10487 10540 E AndroidRuntime: 	at androidx.room.RoomDatabase.useConnection(RoomDatabase.android.kt:619)
07-11 18:11:11.042 10487 10540 E AndroidRuntime: 	at androidx.room.util.DBUtil__DBUtil_androidKt.performSuspending(DBUtil.android.kt:262)
07-11 18:11:11.042 10487 10540 E AndroidRuntime: 	at androidx.room.util.DBUtil.performSuspending(dex-id-5bc828ba2ea77a9ed984f9935d099211cf6cd6e7:1)
07-11 18:11:11.042 10487 10540 E AndroidRuntime: 	at com.kaon.music.media.library.db.dao.LibrarySyncDao_Impl.upsertSongs(LibrarySyncDao_Impl.kt:225)
07-11 18:11:11.042 10487 10540 E AndroidRuntime: 	at com.kaon.music.media.library.db.dao.LibrarySyncDao.applyLibraryDiff$suspendImpl(LibrarySyncDao.kt:62)
07-11 18:11:11.042 10487 10540 E AndroidRuntime: 	at com.kaon.music.media.library.db.dao.LibrarySyncDao.applyLibraryDiff(LibrarySyncDao.kt:0)
